,ch1,ch2,ch3,ch4
0,0.13,4.12,-0.6,-3.28
1,-1.67,12.12,-0.36,-4.78
2,2.1,15.03,0.76,3.18
3,15.33,12.3,8.49,12.11
4,17.99,3.83,8.21,6.9
5,10.77,0.04,4.09,2.1
6,0.18,5.72,2.92,3.77
7,-4.78,7.52,3.43,6.45
8,-0.87,1.62,1.37,4.37
9,-1.26,-2.02,-4.96,-3.75
10,-0.52,0.92,-3.24,-2.3
11,-2.98,-2.44,-3.71,0.26
12,-8.6,-6.81,-7.78,-1.93
13,-5.34,-3.78,-2.18,-3.04
14,-0.92,-3.68,3.53,-3.41
15,1.98,-5.51,3.8,3.76
16,1.6,-6.61,0.2,8.3
17,-1.41,-8.01,-1.87,3.54
18,-5.34,-11.18,-3.44,-5.4
19,-9.03,-13.38,-7.12,-10.68
20,-6.28,-8.45,-5.74,-5.57
21,-7.89,-7.83,-7.98,-6.05
22,-8.7,-11.65,-9.2,-9.0
23,-3.38,-11.23,-1.86,-3.12
24,-5.25,-9.51,-0.11,0.95
25,-2.94,-3.18,0.06,0.8
26,1.17,-0.0,0.73,-5.68
27,1.43,-1.74,0.49,-8.48
28,4.96,2.44,4.33,-2.27
29,6.77,9.25,7.6,0.04
30,9.93,10.72,7.06,0.84
31,7.25,4.08,0.86,3.36
32,1.29,1.98,-3.38,9.93
33,-0.21,2.93,-5.69,12.21
34,-7.03,-6.66,-11.03,-0.95
35,-9.06,-12.74,-8.67,-11.92
36,-6.01,-8.15,-3.44,-13.22
37,-4.1,-0.78,0.14,-6.25
38,-0.58,4.18,2.27,3.25
39,0.62,6.68,2.33,5.48
40,4.09,11.58,7.12,7.85
41,4.07,10.22,5.99,7.09
42,2.78,6.02,2.87,6.12
43,0.9,8.1,4.99,3.11
44,-5.27,7.38,3.23,-2.81
45,0.08,3.19,2.78,0.79
46,3.95,1.28,3.39,0.02
47,4.93,6.44,5.18,0.99
48,9.19,8.11,3.95,8.6
49,4.4,-1.4,-1.62,7.42
50,1.56,-2.39,4.2,4.92
51,-0.44,2.87,8.48,3.27
52,-0.91,0.37,2.53,8.02
53,-1.17,-5.65,-3.8,7.75
54,-11.45,-9.39,-8.29,-15.39
55,-17.46,-9.5,-3.42,-35.77
56,-18.48,-11.68,-0.29,-37.26
57,-10.4,-9.68,-2.7,-18.77
58,4.34,-2.64,-6.04,4.35
59,1.89,-3.05,-13.84,9.46
60,-4.8,-5.26,-12.15,8.84
61,4.15,-3.99,-2.89,12.87
62,16.26,-1.2,2.3,20.07
63,12.5,-0.1,0.9,20.01
64,1.44,-0.99,-1.81,8.49
65,-1.89,-1.14,1.63,3.98
66,-6.08,-4.97,-0.43,-0.29
67,-12.44,-1.09,-3.84,-10.57
68,-13.27,9.95,0.1,-38.67
69,-8.18,12.96,3.99,-70.85
70,-4.06,33.42,11.67,-40.65
71,-15.63,56.79,7.6,4.05
72,-28.18,60.54,-8.03,16.33
73,-28.06,45.08,-11.42,12.4
74,-21.45,1.56,-13.63,-3.75
75,-17.4,40.62,-2.01,11.2
76,-22.12,99.43,-6.51,12.46
77,-61.08,32.96,-45.36,-13.63
78,-90.74,-56.15,-13.94,-3.72
79,-7.45,-82.18,67.26,36.46
80,91.2,-27.59,106.8,75.18
81,122.34,76.64,107.17,84.55
82,114.18,99.77,69.72,86.23
