,ch1,ch2,ch3,ch4
0,-3.71,-3.99,-2.43,2.38
1,-2.66,-2.71,-2.35,6.35
2,-3.22,-1.3,-3.35,2.46
3,-0.41,0.46,-3.12,-2.71
4,5.67,2.73,-1.4,-5.61
5,5.49,-0.62,-2.84,-8.97
6,5.77,-0.81,-1.66,-2.9
7,4.73,3.32,-0.76,4.61
8,3.94,4.99,0.58,5.27
9,1.17,0.32,-0.83,-2.73
10,-4.11,-6.4,-4.45,-11.18
11,-2.24,-4.75,-1.56,-7.09
12,-0.16,0.39,0.22,-1.08
13,2.89,2.9,2.46,3.38
14,3.32,1.78,4.81,2.42
15,-1.01,-0.91,3.46,-0.86
16,-0.01,-2.56,2.26,4.54
17,0.89,-5.33,-0.7,7.06
18,6.6,-1.43,2.08,10.17
19,14.96,7.4,7.91,15.78
20,12.13,8.28,8.05,13.29
21,2.37,2.45,5.84,0.45
22,-5.83,-3.11,0.64,-14.93
23,-7.33,-5.28,-4.66,-14.95
24,-4.93,-5.33,-4.55,-3.0
25,-4.99,-4.11,-2.05,1.58
26,-6.55,-1.11,-3.1,-3.26
27,-4.02,2.15,-4.83,-5.34
28,2.37,4.5,-0.78,1.63
29,3.65,2.78,3.87,8.4
30,1.53,-1.3,5.31,5.87
31,-0.25,-2.94,3.91,-1.32
32,-4.65,-3.9,-0.94,-5.51
33,-2.69,-1.84,-1.31,-3.96
34,3.31,2.17,1.03,-1.41
35,3.66,2.21,1.34,3.22
36,0.96,-0.2,1.17,6.36
37,-2.5,-0.95,-1.43,1.43
38,-1.92,2.7,-2.2,-6.83
39,-3.27,2.37,-3.43,-12.66
40,-8.51,-1.97,-3.83,-4.73
41,-3.97,1.92,2.9,8.84
42,1.99,5.08,4.58,9.87
43,1.68,2.77,1.29,6.11
44,1.22,2.56,1.28,1.18
45,-2.58,0.56,-1.35,-9.52
46,-5.33,-1.33,-3.35,-12.34
47,-4.63,-1.33,-2.01,-7.67
48,-1.74,-0.98,-0.04,-2.89
49,2.42,3.45,1.83,6.8
50,2.18,7.18,2.58,12.32
51,0.21,6.06,5.07,11.32
52,-2.78,1.52,7.55,5.65
53,-7.23,-4.77,6.49,-12.04
54,-10.55,-7.79,0.93,-32.35
55,-6.71,-2.93,-1.23,-27.29
56,0.52,1.99,1.98,-7.46
57,-0.4,-1.1,-0.84,-2.56
58,1.12,-1.53,-4.77,2.88
59,7.18,2.36,-4.24,15.03
